,target
374624,0
366449,0
169768,0
258238,0
346444,0
110862,0
22987,0
98850,0
55305,0
312334,0
350527,0
276848,0
151499,0
186524,0
167126,0
173383,0
342010,0
357302,0
47906,0
140518,0
307085,0
360478,0
296907,0
224286,0
184194,0
103882,0
23300,0
181794,0
58009,0
379716,0
343857,0
258379,0
92654,0
237350,0
26831,0
261151,0
195788,0
333732,0
235065,0
150871,0
166556,0
302059,0
121203,0
367021,0
318385,0
219249,0
58502,0
356056,0
110518,0
154284,0
133545,0
148824,0
95617,0
127505,0
198941,0
361400,0
84481,0
168473,0
239067,0
210040,0
188557,0
34875,0
240756,0
229892,0
104050,0
350847,0
198928,0
209538,0
88331,0
54211,0
86195,0
50490,0
204516,0
129859,0
110539,0
148605,0
76820,0
298798,0
271604,0
5447,0
335160,0
278688,0
132687,0
65072,0
344243,0
53830,0
218159,0
240185,0
66600,0
108470,0
189628,0
138526,0
117262,0
4773,0
216389,0
195256,0
264929,0
231698,0
80967,0
327653,0
312693,0
299319,0
376162,0
172916,0
356759,0
110697,0
381276,0
150601,0
100217,0
344240,0
12043,0
229247,0
229652,0
251265,0
96604,0
112747,0
276778,0
331514,0
363547,0
305028,0
167520,0
336410,0
18968,0
348443,0
170828,0
50631,0
65936,0
15287,0
5154,0
56518,0
243787,0
284598,0
157477,0
189653,0
108766,0
300562,0
156302,0
243911,0
15869,0
384882,0
127718,0
208983,0
236085,0
234601,0
327991,0
114774,0
18763,0
345971,0
11806,0
43291,0
335978,0
332420,0
283659,0
110682,0
219351,0
22306,0
229138,0
135181,0
322635,0
251380,0
116541,0
187724,1
183812,0
318898,0
248290,0
314443,0
188646,0
183567,0
12925,0
83506,0
18460,0
59939,0
244946,0
36607,0
29820,0
93971,0
240700,0
135545,0
162430,0
162953,0
204510,0
124270,0
14026,0
91525,0
246480,0
51468,0
5250,0
349691,0
73594,0
46625,0
288925,0
302068,0
268170,0
47029,0
371397,0
125316,0
63167,0
224625,0
149756,0
120366,0
62644,0
325096,0
95308,1
177507,0
33069,0
121555,0
332559,0
278261,0
34737,0
335715,0
84247,0
365271,0
209818,0
21961,0
26893,0
389949,0
338392,0
264804,0
364029,0
121760,0
30630,0
113991,0
23066,0
262887,0
304031,0
43847,0
329849,0
381390,1
243859,0
24983,0
244461,0
194409,0
289012,0
374814,0
134785,1
24143,0
290736,0
80828,0
256004,0
355266,0
278162,0
46067,0
41459,0
252182,0
49201,0
98633,0
8097,0
18938,0
347222,0
201656,0
155073,0
184817,0
145983,0
32015,0
365331,0
43282,0
265421,0
226765,0
142714,0
148503,0
349600,0
201029,0
221497,0
226405,0
308663,0
366146,0
201089,0
294593,0
371074,0
107757,0
108135,0
343000,0
169658,0
386335,0
176585,0
185629,0
143137,0
142580,0
67765,0
333320,0
2530,0
147958,0
217128,0
217586,0
244655,0
169715,1
196831,0
46959,0
314304,0
338704,0
151261,0
178388,0
12463,0
98781,0
76746,0
145858,0
62450,0
210250,0
68951,0
330472,0
375719,0
91577,0
354639,0
70608,0
391379,0
270765,0
75409,0
312055,0
212261,0
58846,0
172104,0
15415,0
323369,0
11463,0
97535,0
60423,0
40818,0
61788,0
179843,0
7739,0
263765,0
179268,0
125997,0
363382,0
104009,1
307895,0
58054,0
319856,0
191124,0
18053,0
242099,0
223058,0
324169,0
13721,0
219251,0
266848,0
383512,0
64408,0
44371,0
119735,0
376049,0
60552,0
128919,0
368347,0
163292,0
183330,0
382252,0
10896,0
342974,0
244738,0
78981,0
79762,0
27268,0
311162,0
27975,0
88896,0
234810,0
240015,0
251647,0
38958,0
253799,0
76832,0
301559,0
367903,0
244297,0
283126,0
3614,0
295342,0
113154,0
295892,0
384236,0
73878,0
128402,1
143670,0
154929,0
241626,0
152280,0
126032,0
139573,0
298952,0
387701,0
112455,0
97520,0
238651,0
189255,0
267113,0
361893,0
303012,0
140580,0
40340,0
376642,0
173164,0
272002,0
281839,0
135104,0
205262,0
108864,0
381333,0
15751,0
143349,0
308361,0
113371,0
221076,0
302570,0
350943,0
347026,0
328700,0
165324,0
153953,0
301603,0
74870,0
235603,0
120904,0
32588,0
169452,0
319801,0
259297,0
224745,0
315697,0
362499,0
210148,0
124100,1
102550,0
108587,0
100214,0
311625,0
217745,0
274427,0
69068,0
211783,0
197907,0
380713,0
362091,1
327804,0
152358,0
265124,0
86232,0
264971,0
53175,0
155335,0
360111,0
381081,0
56332,0
113430,0
158540,0
380714,0
329244,0
32374,0
60767,0
38933,0
389237,0
381714,0
362401,0
132560,0
225312,0
102562,0
23681,0
227957,0
288324,0
156787,0
165220,0
309994,0
198278,0
319518,0
236741,0
181706,0
102002,0
111724,0
66136,0
22574,0
381715,0
379483,0
131302,1
107601,0
22497,0
151404,0
304752,0
31085,0
71190,0
86947,1
53044,0
324854,0
84535,0
266635,0
372414,0
330352,0
140754,0
201809,0
54560,0
161787,0
170911,0
163289,0
109438,0
34004,0
36659,0
203043,0
204561,0
137375,0
45275,0
96219,0
166751,0
157284,0
2083,0
32066,0
148298,0
28514,0
7465,0
95191,0
263925,0
115533,0
105204,0
382332,0
386973,0
299990,0
54909,0
264441,0
371515,0
134065,0
161283,0
289301,0
148639,0
18392,0
183857,0
159849,0
391583,0
297769,0
385156,0
215474,0
221926,0
86384,0
363448,0
16385,0
343348,0
290323,0
125529,0
229332,0
214189,0
155973,0
354633,0
147407,0
40425,0
180299,0
222849,0
25383,0
370675,0
128174,0
88059,0
35689,0
290331,0
211717,0
387416,0
226465,0
183580,0
30946,0
215573,0
62262,0
126573,0
21783,0
229876,0
247865,0
269474,0
98555,0
89187,0
145208,0
154788,0
268167,0
85097,0
295821,0
198423,0
322911,0
314213,0
287658,0
230787,0
30756,0
164232,0
259395,0
244667,0
248229,0
65454,0
281858,0
76923,0
304873,0
130044,0
36100,0
235636,0
197510,0
152575,0
355193,0
351629,0
72903,0
314169,0
131345,0
209349,0
125170,0
84474,0
147975,0
241206,0
23353,0
324828,0
320650,0
367484,0
5735,0
312353,0
382351,0
123345,0
247070,0
239951,0
326269,0
78330,0
240621,0
5216,0
139112,0
264712,0
378627,0
151256,0
93893,0
66810,0
282372,0
308804,0
249325,0
37754,0
112410,0
39914,0
316366,0
175132,0
225159,0
104436,0
276659,0
202295,0
140842,0
315305,0
358016,0
111824,0
323903,0
346271,0
232015,0
207457,0
19006,0
199516,0
387491,0
52710,0
304288,0
347798,0
98424,0
53603,0
68818,0
6668,0
210976,0
295986,0
352619,0
25663,0
160627,0
342785,0
349155,0
145704,0
325752,0
17582,0
177415,0
30002,0
62325,0
342724,0
198549,0
221794,0
11051,0
331564,0
221051,0
93099,0
264818,0
244213,0
282176,0
205833,0
65414,0
254528,0
278853,0
185218,0
257121,0
103670,0
24549,0
105538,0
280003,0
301023,0
113775,0
66780,0
107971,0
359371,0
32145,0
49865,0
284371,0
224837,0
25144,0
357846,0
230430,0
212863,1
313884,0
27439,0
240724,0
322962,0
356426,0
54489,0
17557,0
149458,0
26644,1
368504,0
377350,0
144992,0
33913,0
322457,0
3201,0
142532,0
317202,0
1498,0
326432,0
371011,0
274118,0
278160,0
372411,0
96055,0
125148,0
27296,0
202197,0
147468,0
219253,0
201250,0
199849,0
91336,0
350638,0
209340,0
345273,0
357002,0
133577,0
260897,0
326308,0
14032,0
237761,0
307357,0
47001,0
327103,0
41099,0
69183,0
356464,0
71518,0
345407,0
7236,0
17477,0
47393,0
192462,0
222343,0
55154,0
234788,0
211050,0
130189,0
139548,0
329122,0
299431,0
12792,0
214518,0
100291,0
191330,0
53391,0
375681,0
305525,0
351520,0
376685,0
244503,0
29431,0
247006,0
285701,0
362802,0
82170,0
207072,0
1641,0
63208,0
63792,0
263452,0
106850,0
96515,0
126452,0
299274,0
302510,0
110128,0
97931,0
254139,0
357480,0
386442,0
79366,0
88020,0
273803,0
85692,0
64640,0
181157,0
2105,0
254839,0
143999,0
383483,0
345260,0
11110,0
339467,0
334688,0
97182,0
388678,0
231429,0
13763,0
17055,0
190806,0
194588,0
209216,0
63914,0
200566,0
80666,0
368352,0
5045,0
179468,0
188699,0
346669,0
178998,0
136516,0
142876,0
7963,0
371997,0
194447,0
145419,0
32316,0
225669,0
57824,0
14661,0
243390,0
366552,0
95171,0
148575,0
291669,0
173226,0
390131,0
3268,0
294524,0
200914,0
2546,0
269052,0
134152,0
285698,0
71802,0
43718,0
253488,0
47563,0
11077,0
349876,0
17900,0
204071,0
252981,0
365548,0
45729,0
158707,0
5865,0
70934,0
364835,0
318725,0
371850,0
164439,0
67105,0
136183,0
215710,0
196116,0
12618,1
85735,0
348452,0
372745,0
388459,0
131611,0
140642,0
74866,0
322730,0
228579,0
259302,0
108173,0
27846,0
64135,0
90718,0
390683,0
60371,0
113072,0
327613,0
5684,0
259985,0
139844,0
291273,0
65259,0
306398,0
289048,0
7514,0
237459,0
177955,0
322154,0
87789,0
107039,0
282079,0
17770,0
186342,0
10215,0
375316,0
362026,0
271296,0
157835,0
243086,0
18258,0
167700,0
179330,0
315428,0
349135,0
185768,0
213916,0
380514,0
152285,0
83574,0
184790,0
43800,0
17994,0
198432,0
205727,0
132118,0
241835,0
381482,0
23391,0
110884,0
157437,0
244140,0
220390,0
20710,0
191245,0
44455,0
367857,0
120499,0
346535,0
244227,0
132019,0
160485,0
300151,0
325501,0
43477,0
375906,0
277686,0
242049,0
12599,0
271884,0
261560,0
157706,0
334714,0
194524,0
322615,0
91517,0
254356,0
81923,0
194126,0
264764,0
6472,0
15779,0
319204,0
199044,0
354176,0
84974,0
199102,0
389780,0
143269,0
239753,0
160248,0
383120,0
113301,0
273028,0
363160,0
288660,0
161487,0
327058,0
256596,0
331770,0
360969,0
30716,0
117708,0
223762,0
78113,0
208778,0
175126,0
230299,0
138393,0
49427,0
28789,0
104352,0
261265,0
161686,0
256350,0
205808,0
6970,0
22990,0
177462,0
72206,0
194290,0
378137,0
82377,0
357431,0
1230,0
313501,0
374988,0
286523,0
324136,0
232704,0
252526,0
114275,0
87156,0
346504,0
328324,0
17064,0
175580,0
320953,0
247181,0
89160,0
258567,0
159069,0
381953,0
330629,0
187311,0
114917,0
358540,0
365530,0
329536,0
72555,0
43267,0
59342,0
241165,0
33539,0
344245,0
344590,0
224165,0
131325,0
142267,0
391740,0
88265,0
353195,0
297283,0
251455,0
120730,0
57035,0
61958,0
25295,0
130997,0
132042,0
386562,0
6151,0
254300,0
76583,0
216357,0
283779,0
5059,0
93877,0
256538,0
92815,0
157361,0
201074,0
121023,0
275750,0
390606,0
152209,0
270590,0
200073,0
105595,0
197921,0
90248,0
170232,0
84014,0
319363,0
145053,0
269304,0
380986,0
182180,0
294320,0
197245,0
377806,0
69890,0
227087,1
41561,0
145757,0
374206,0
76834,0
57010,0
96166,0
16505,1
321645,0
96861,0
157733,0
195738,0
112009,0
162963,0
353852,0
250072,0
314433,0
315186,0
240317,0
45727,0
324892,0
273188,0
365276,0
178727,0
88899,0
7332,0
108168,0
296665,0
392827,0
195554,0
219830,0
213952,0
253940,0
138826,0
22444,0
389785,0
4408,1
294406,0
186535,0
79936,0
115735,0
354745,0
104186,0
34590,0
387572,0
390264,0
145842,0
56240,0
40059,0
13593,0
226186,0
329945,0
190958,0
354368,0
131053,0
333862,0
299568,0
309420,0
199730,0
194862,0
153616,0
354259,0
295094,0
382455,0
345228,0
299403,0
346545,0
30709,0
116887,0
307298,0
315163,0
192696,0
327291,0
217366,0
122234,0
378606,0
37661,0
69104,0
332612,0
169119,0
120943,0
296902,0
52116,0
83254,0
376261,0
326698,1
221959,0
297751,0
44253,0
60923,0
297690,0
166094,0
174364,0
10064,0
111094,0
54083,0
128009,0
290123,0
340499,0
178244,0
136667,0
24093,0
196597,0
267202,0
148097,0
95113,0
103456,0
134329,0
297194,0
281530,0
102357,0
342119,0
138419,0
239877,0
248493,0
237144,0
314144,0
328030,0
256107,0
113003,0
191858,0
107306,0
228587,0
372969,0
312436,0
156602,0
143309,0
255513,0
